source_id,actor_or_topic,publisher,title,url,status,http_status,content_type,local_archive_path,sha256,bytes,note
SRC-MITRE-G0069,MuddyWater,MITRE ATT&CK,MuddyWater G0069,https://attack.mitre.org/groups/G0069/,downloaded,200,text/html; charset=utf-8,research-downloads/2026-05-14/14-mitre-att-ck-muddywater-g0069.html,b96ed0571008c5836c61e3b56ba39444888a9ac90e6946d2d3a8fa12593c4c28,274491,Final URL: https://attack.mitre.org/groups/G0069/; bytes=274491
SRC-KASPERSKY-ICS-H2-2023,OilRig,Kaspersky ICS CERT,APT and financial attacks on industrial organizations in H2 2023,https://ics-cert.kaspersky.com/publications/apt-and-financial-attacks-on-industrial-organizations-in-h2-2023/,downloaded,200,text/html; charset=UTF-8,research-downloads/2026-05-14/15-kaspersky-ics-cert-apt-and-financial-attacks-on-industrial-organizations-in-h2-2023.html,0d8c97f94431e7fd4e82c25fa1c18c5856456f7474f42f2c4734470c06d4a320,155070,Final URL: https://ics-cert.kaspersky.com/publications/reports/2024/04/02/apt-and-financial-attacks-on-industrial-organizations-in-h2-2023/; bytes=155070
SRC-ESET-OILRIG-ISRAEL,OilRig,ESET,OilRig cloud service-powered downloaders,https://www.eset.com/sg/about/newsroom/press-releases1/awards/iran-linked-oilrig-attacks-israeli-organizations-with-cloud-service-powered-downloaders-eset-research-discovers/,downloaded,200,text/html; charset=utf-8,research-downloads/2026-05-14/16-eset-oilrig-cloud-service-powered-downloaders.html,2e0d963ddd4fc59962ae651dc3d7bfe093410883f38a3f65bb21d53b3d97dab7,106960,Final URL: https://www.eset.com/sg/about/newsroom/press-releases1/awards/iran-linked-oilrig-attacks-israeli-organizations-with-cloud-service-powered-downloaders-eset-research-discovers/; bytes=106960
SRC-BRANDEFENSE-OILRIG-2025,OilRig,Brandefense,OilRig APT 2025,https://brandefense.io/blog/oilrig-apt-2025/,downloaded,200,text/html; charset=UTF-8,research-downloads/2026-05-14/17-brandefense-oilrig-apt-2025.html,c5f101b9809a95c4fd44144796aa55e98bebc8f8715cead03074e43bd5ee3a42,666339,Final URL: https://brandefense.io/blog/oilrig-apt-2025/; bytes=666339
,OilRig,NJCCIC,Iran Cyber Threat Operations APT34,,not_found,,,,,,No public URL identified in quick search.
SRC-PROOFPOINT-IRAN-CONFLICT-2026,APT42,Proofpoint,Iran conflict drives heightened espionage activity,https://www.proofpoint.com/us/blog/threat-insight/iran-conflict-drives-heightened-espionage-activity-against-middle-east-targets,downloaded,200,text/html; charset=UTF-8,research-downloads/2026-05-14/19-proofpoint-iran-conflict-drives-heightened-espionage-activity.html,8a3f2e780b05dc4370ed4f37f0797551af8ee88da996fb6e04175ebb59727897,219160,Final URL: https://www.proofpoint.com/us/blog/threat-insight/iran-conflict-drives-heightened-espionage-activity-against-middle-east-targets; bytes=219160
SRC-GOOGLE-APT42-UNCHARMED,APT42,Mandiant / Google Cloud,Uncharmed: Untangling Iran APT42 Operations,https://cloud.google.com/blog/topics/threat-intelligence/untangling-iran-apt42-operations,downloaded,200,text/html; charset=utf-8,research-downloads/2026-05-14/20-mandiant-google-cloud-uncharmed-untangling-iran-apt42-operations.html,19011641a958e0b3c0585f3bc26a0e42874efdcdf7fe4d8426663454d2d8fe28,639820,Final URL: https://cloud.google.com/blog/topics/threat-intelligence/untangling-iran-apt42-operations; bytes=639820
SRC-MS-MINT-SANDSTORM,APT42,Microsoft,Mint Sandstorm refines tradecraft,https://www.microsoft.com/en-us/security/blog/2023/04/18/nation-state-threat-actor-mint-sandstorm-refines-tradecraft-to-attack-high-value-targets/,downloaded,200,text/html; charset=UTF-8,research-downloads/2026-05-14/21-microsoft-mint-sandstorm-refines-tradecraft.html,3dee39026669d70bf7da63eb3f1d5fae8435f1c09c6f755195f60534d5136ddf,313282,Final URL: https://www.microsoft.com/en-us/security/blog/2023/04/18/nation-state-threat-actor-mint-sandstorm-refines-tradecraft-to-attack-high-value-targets/; bytes=313282
SRC-MS-MINT-PROFILE,APT42,Microsoft,Mint Sandstorm profile,https://www.microsoft.com/en-ca/security/security-insider/mint-sandstorm,downloaded,200,text/html; charset=utf-8,research-downloads/2026-05-14/22-microsoft-mint-sandstorm-profile.html,b9f5ef8434d97d1939ea60cc85224cf67aca938703b7678437d7fd5d84405246,114597,Final URL: https://www.microsoft.com/en-ca/security/security-insider/mint-sandstorm; bytes=114597
SRC-UNIT42-AGRIUS,Agrius,Unit 42,Agonizing Serpens targets Israeli higher education and tech sectors,https://unit42.paloaltonetworks.com/agonizing-serpens-targets-israeli-tech-higher-ed-sectors/,downloaded,200,text/html; charset=UTF-8,research-downloads/2026-05-14/23-unit-42-agonizing-serpens-targets-israeli-higher-education-and-tech-sectors.html,e7d1860d5cd2d03ad5219b8faf957e944636a4dca70a0ea296af2c43a9e9d560,290630,Final URL: https://unit42.paloaltonetworks.com/agonizing-serpens-targets-israeli-tech-higher-ed-sectors/; bytes=290630
SRC-CENTRIPETAL-PREPOSITIONED-2025,Agrius,Centripetal AI,Pre-positioned Access Cyber Threat Iran Conflict,https://www.centripetal.ai/threat-research/pre-positioned-access-cyber-threat-iran-conflict,downloaded,200,text/html; charset=UTF-8,research-downloads/2026-05-14/24-centripetal-ai-pre-positioned-access-cyber-threat-iran-conflict.html,c32a6aaa964e87d5d801a81caf9498470273751f1f897ae7c5ea25bcb2a6b5aa,113314,Final URL: https://www.centripetal.ai/threat-research/pre-positioned-access-cyber-threat-iran-conflict; bytes=113314
SRC-ISRAELHAYOM-ZIV-2023,Agrius,Israel Hayom,Iran Hezbollah behind Ziv Hospital cyber attack,https://www.israelhayom.com/2023/12/18/iran-hezbollah-behind-cyber-attack-on-israeli-hospital/,downloaded,200,text/html; charset=UTF-8,research-downloads/2026-05-14/25-israel-hayom-iran-hezbollah-behind-ziv-hospital-cyber-attack.html,ffe696418b29ef6e27b9497ce0558866982a9d5139643599d9ada4032e23abe4,180872,Final URL: https://www.israelhayom.com/2023/12/18/iran-hezbollah-behind-cyber-attack-on-israeli-hospital/; bytes=180872
SRC-ANVILOGIC-IRAN-CI-2026,Agrius,Anvilogic,Iranian Cyber Threats Target U.S. Critical Infrastructure,https://www.anvilogic.com/threat-reports/iranian-cyber-threats-against-u-s-critical-infrastructure-supply-chain,downloaded,200,text/html; charset=utf-8,research-downloads/2026-05-14/26-anvilogic-iranian-cyber-threats-target-u-s-critical-infrastructure.html,31c4cc7366da48160537ed937dd038cc4bbe811aabef83701abd6e052f8eedcd,222945,Final URL: https://www.anvilogic.com/threat-reports/iranian-cyber-threats-against-u-s-critical-infrastructure-supply-chain; bytes=222945
SRC-CISA-AA26-097A,CyberAv3ngers / Cyber Toufan,CISA/FBI/NSA/EPA/DOE/USCYBERCOM,AA26-097A PLC exploitation,https://www.cisa.gov/news-events/cybersecurity-advisories/aa26-097a,downloaded,200,text/html; charset=UTF-8,research-downloads/2026-05-14/27-cisa-fbi-nsa-epa-doe-uscybercom-aa26-097a-plc-exploitation.html,0c93ed3b43494b6a1dae7fda34d40aba71016829af839920cc04e613c02d3f08,96779,Final URL: https://www.cisa.gov/news-events/cybersecurity-advisories/aa26-097a; bytes=96779
,CyberAv3ngers / Cyber Toufan,Sophos,Increased Cyber Risk Amid U.S.-Israel-Iran Escalation,https://www.sophos.com/en-us/blog/cyber-advisory-increased-cyber-risk-amid-u-s-israel-iran-escalation,failed,,,,,,TimeoutError: The read operation timed out
SRC-OPI-CYBER-TOUFAN,CyberAv3ngers / Cyber Toufan,OP Innovate,Cyber Toufan Attack Playbook,https://op-c.net/blog/cyber-toufan-attack-playbook/,downloaded,200,text/html; charset=UTF-8,research-downloads/2026-05-14/29-op-innovate-cyber-toufan-attack-playbook.html,9ea9ce6a638768bf957f000b9ac63a64439e79e68f895795df82bcde42f6f9fc,223398,Final URL: https://op-c.net/blog/cyber-toufan-attack-playbook/; bytes=223398
,CyberAv3ngers / Cyber Toufan,Netizen,POKYBLIGHT wiper bulletin,,not_found,,,,,,No public URL identified in quick search.
,Arid Viper,Acronis TRU,Mobile Spyware Campaign Impersonates Israel Red Alert System,,not_found,,,,,,No public URL identified in quick search.
SRC-CYBERNEWS-REDALERT-2026,Arid Viper,Cybernews / Acronis coverage,Israelis download malicious RedAlert app,https://cybernews.com/security/israel-malicious-redalert-app/,downloaded,200,text/html; charset=UTF-8,research-downloads/2026-05-14/32-cybernews-acronis-coverage-israelis-download-malicious-redalert-app.html,5e3dd044d1cfca7851851410d72bd385d582542b3ba533c76c38f939684dc9b4,286968,Final URL: https://cybernews.com/security/israel-malicious-redalert-app/; bytes=286968
SRC-ESET-ARIDSPY,Arid Viper,ESET,Arid Viper poisons Android apps with AridSpy,https://www.welivesecurity.com/en/eset-research/arid-viper-poisons-android-apps-with-aridspy/,downloaded,200,text/html; charset=UTF-8,research-downloads/2026-05-14/33-eset-arid-viper-poisons-android-apps-with-aridspy.html,0e84d15a9c1c4e3caec27bfd12c6ad0674c7e53c0c7f04426e8232cab427d69a,152282,Final URL: https://www.welivesecurity.com/en/eset-research/arid-viper-poisons-android-apps-with-aridspy/; bytes=152282
SRC-S1-ISRAEL-HAMAS-CYBER-2023,Arid Viper,SentinelOne,Israel-Hamas War Cyber Domain Activity of Interest,https://www.sentinelone.com/labs/the-israel-hamas-war-cyber-domain-state-sponsored-activity-of-interest/,downloaded,200,text/html; charset=UTF-8,research-downloads/2026-05-14/34-sentinelone-israel-hamas-war-cyber-domain-activity-of-interest.html,4412dc26c9fb91bc37d61b05fb41ebb93d9c304b17241c91a0d0e76fa6df9217,315393,Final URL: https://www.sentinelone.com/labs/the-israel-hamas-war-cyber-domain-state-sponsored-activity-of-interest/; bytes=315393
SRC-UNIT42-ASHTAG-2025,WIRTE / TA402,Unit 42,Ashen Lepus uses new AshTag malware suite,https://unit42.paloaltonetworks.com/hamas-affiliate-ashen-lepus-uses-new-malware-suite-ashtag/,downloaded,200,text/html; charset=UTF-8,research-downloads/2026-05-14/35-unit-42-ashen-lepus-uses-new-ashtag-malware-suite.html,4357efc570b0130424b46fb0ee57945e9c2c18e8ec83d284988309693dfd948e,263689,Final URL: https://unit42.paloaltonetworks.com/hamas-affiliate-ashen-lepus-uses-new-malware-suite-ashtag/; bytes=263689
SRC-PROOFPOINT-TA402-IRONWIND,WIRTE / TA402,Proofpoint,TA402 uses complex IronWind infection chains,https://www.proofpoint.com/us/blog/threat-insight/ta402-uses-complex-ironwind-infection-chains-target-middle-east-based-government,downloaded,200,text/html; charset=UTF-8,research-downloads/2026-05-14/36-proofpoint-ta402-uses-complex-ironwind-infection-chains.html,1207534177bb09d38a246eea9bfab3e7e5e80845d17b2cef756b4c7bc24d0fc2,195453,Final URL: https://www.proofpoint.com/us/blog/threat-insight/ta402-uses-complex-ironwind-infection-chains-target-middle-east-based-government; bytes=195453
SRC-CP-WIRTE-2024,WIRTE / TA402,Check Point,Hamas-affiliated threat actor expands to disruptive activity,https://research.checkpoint.com/2024/hamas-affiliated-threat-actor-expands-to-disruptive-activity/,downloaded,200,text/html; charset=UTF-8,research-downloads/2026-05-14/37-check-point-hamas-affiliated-threat-actor-expands-to-disruptive-activity.html,6687bbb0171ce1cd1af5bd052fda16cabc511d2b463f3feb6a4adc554b6527d8,209334,Final URL: https://research.checkpoint.com/2024/hamas-affiliated-threat-actor-expands-to-disruptive-activity/; bytes=209334
SRC-S1-ISRAEL-HAMAS-CYBER-2023,WIRTE / TA402,SentinelOne,Israel-Hamas War Cyber Domain Activity of Interest,https://www.sentinelone.com/labs/the-israel-hamas-war-cyber-domain-state-sponsored-activity-of-interest/,downloaded,200,text/html; charset=UTF-8,research-downloads/2026-05-14/38-sentinelone-israel-hamas-war-cyber-domain-activity-of-interest.html,c53cafefe1025aa5757d615d2bff0a20d3abf978ead23a18d676ee2067350cba,315393,Final URL: https://www.sentinelone.com/labs/the-israel-hamas-war-cyber-domain-state-sponsored-activity-of-interest/; bytes=315393
SRC-CLEARSKY-LEBANESE-CEDAR,Lebanese Cedar,ClearSky,Lebanese Cedar APT,https://www.clearskysec.com/cedar/,failed_placeholder,200,text/html,research-downloads/2026-05-14/39-clearsky-lebanese-cedar-apt.html,d02032286070b4dd9d8fbd985a7bdca8af8edf52b89ff177db3bfcb2c8a9c43d,212,Final URL: https://www.clearskysec.com/cedar/; bytes=212; downloaded body is too small to be a usable report
,Lebanese Cedar,Check Point,Volatile Cedar technical report PDF,https://www.checkpoint.com/downloads/volatile-cedar-technical-report.pdf,failed,,,,,,HTTPError: HTTP Error 404: Not Found
SRC-TOI-ZIV-2023,Lebanese Cedar,Times of Israel,Israel says Iran Hezbollah behind failed Ziv Hospital hack,https://www.timesofisrael.com/liveblog_entry/israel-says-iran-hezbollah-behind-failed-attempt-to-hack-ziv-hospital/,downloaded,200,text/html; charset=UTF-8,research-downloads/2026-05-14/41-times-of-israel-israel-says-iran-hezbollah-behind-failed-ziv-hospital-hack.html,2e2500bd6374df6894d8f628425b61d459d17b8daec439be76fc3013e28fac13,656869,Final URL: https://www.timesofisrael.com/liveblog_entry/israel-says-iran-hezbollah-behind-failed-attempt-to-hack-ziv-hospital/; bytes=656869
SRC-CP-VOLATILE-CEDAR-2015,Lebanese Cedar,Check Point via Kaspersky mirror,Volatile Cedar technical report PDF,https://media.kasperskycontenthub.com/wp-content/uploads/sites/43/2015/03/20082004/volatile-cedar-technical-report.pdf,downloaded_supplemental,200,application/pdf,research-downloads/2026-05-14/40-kaspersky-volatile-cedar-technical-report.pdf,2f3aaf0e740e4fd35157d21334a333495d2436d82adbcfe031afe396d8e4cf4c,1874864,Supplemental local archive. Original Check Point URL returned 404; public Kaspersky mirror URL identified from MISP/secondary references.
