actor_id,attack_id,tactic,technique,source_id,confidence,notes,mapping_quality
TA402,T1566.001,Initial Access,Spearphishing Attachment,SRC-PROOFPOINT-TA402-IRONWIND,Medium-High,"TA402 used PPAM, XLL, and RAR attachment chains against Middle East government entities.",M3
TA402,T1574.001,Defense Evasion,DLL Search Order Hijacking,SRC-PROOFPOINT-TA402-IRONWIND,Medium-High,IronWind infection chain used sideloading after lure execution.,M3
APT42,T1566.002,Initial Access,Spearphishing Link,SRC-GOOGLE-APT42-PHISHING,High,Google reported intensified APT42 phishing campaigns against Israeli and U.S. high-value users in 2024.,M3
COTTONSANDSTORM,T1204.002,Execution,User Execution: Malicious File,SRC-CP-WEZRAT,Medium-High,Fake INCD security update phishing delivered WezRat to Israeli organizations.,M3
COTTONSANDSTORM,T1566,Initial Access,Phishing,SRC-FBI-EMENNET-2024,High,Joint advisory documents Emennet Pasargad tradecraft and aliases.,M3
UNC1860,T1190,Initial Access,Exploit Public-Facing Application,SRC-MANDIANT-UNC1860,Medium-High,Mandiant reporting emphasizes Middle Eastern network access and persistent footholds; public-facing edge exposure should be prioritized.,M3
UNC1860,T1505.003,Persistence,Web Shell,SRC-MANDIANT-UNC1860,High,Passive webshell and backdoor families associated with the cluster support persistent access.,M3
UNC1860,T1105,Command and Control,Ingress Tool Transfer,SRC-MANDIANT-UNC1860,Medium,Specialized tooling and staged components should drive webroot and edge-host transfer hunts.,M3
UNC1860,T1021.001,Lateral Movement,Remote Services: RDP,SRC-MANDIANT-UNC1860,Medium,Persistent access provider model should be correlated with remote service use after edge compromise.,M2
UNC1860,T1078,Defense Evasion,Valid Accounts,SRC-MANDIANT-UNC1860,Medium,Access-provider behavior should be hunted through privileged and service-account use after initial foothold.,M2
SCAREDMANTICORE,T1190,Initial Access,Exploit Public-Facing Application,SRC-CP-VOID-2024,High,"Primary initial access vector: exploitation of public-facing SharePoint, IIS, and web applications. CVE-2019-0604 documented in some reporting.",M3
SCAREDMANTICORE,T1505.004,Persistence,IIS Components,SRC-CP-VOID-2024,High,Liontail framework loads malicious IIS native modules and HTTP.sys listeners as passive persistent backdoors.,M2
SCAREDMANTICORE,T1505.003,Persistence,Web Shell,SRC-CP-VOID-2024,High,Web shells dropped alongside or after IIS module implants as secondary persistence.,M3
SCAREDMANTICORE,T1071.001,Command and Control,Web Protocols,SRC-CP-VOID-2024,Medium-High,"Liontail passive backdoor responds to HTTP/S requests, blending C2 traffic with legitimate web server activity.",M2
SCAREDMANTICORE,T1199,Initial Access,Trusted Relationship,SRC-CP-VOID-2024,Medium,Some reporting describes handoff-style operations where access obtained by Scarred Manticore is passed to a second team for destructive effects — hunt for privilege escalation or destructive staging shortly after edge-application compromise.,M2
